"number","name","cmt","desc","symbol","url","Latitude","Longitude"
4496,"Juuvinsaari","Outhouse toilet,  Campfire site,  Landing stage, Buoys","(Metsähallitus, SLPS)","guestharbor","https://drive.google.com/open?id=10sVorc5PL4HTNbOZOL4_6prK6sX8Wd2MWA","61.776717","28.710596"
5343,"Kaavinkoski ","Waste disposal,  Outhouse toilet,  Campfire site, Buoys,  Landing stage, Sauna, ",,"naturharbor",,"62.888333","28.633333"
4988,"Kaijansaari ","Waste disposal,  Outhouse toilet,  Campfire site,  Shelter ","(PSS)","naturharbor",,"62.913426","27.548143"
4280,"Kaijatsaari","Waste disposal,  Outhouse toilet,  Campfire site, Landing stage","(PSS)","naturharbor",,"61.581667","27.695000"
4838,"Kaita","Waste disposal,  Outhouse toilet,  Campfire site,  Landing stage, Sauna","(PSS),pienoisviitat. Stone on S (right) side of pier?","guestharbor","https://drive.google.com/open?id=1kMrix7u0O8LTRDDeJ_FUj_eV71k-8PQeKA","62.423299","27.919644"
4727,"Kaitasaari","Outhouse toilet,  Campfire site  ","National park, shallow","naturharbor",,"62.021667","28.546667"
4100,"Kaito","Waste disposal, Campfire site, Outhouse toilet,","Shallow sandy beach","beach",,"61.215000","28.411667"
5447,"Käkötaipale ","Outhouse toilet, Barbecue shelter","National park , mv-Kielto ","naturharbor",,"62.180000","28.911667"
4897,"Kakssalminen ","Waste disposal,  Outhouse toilet,  Campfire site","(PSS) lodge ","naturharbor",,"62.805000","27.815000"
5268,"Kalasatama",,,"guestharbor",,"61.927709","29.799016"
,"Kalasatama Kokkomäki",,,"pier",,"62.689881","28.126040"
,"Kalasatama Kontturinmäki","Slip,",,"port",,"61.280617","28.179605"
5307,"Kalliolahti ","Outhouse toilet,  Campfire site,  Landing stage, ",,"naturharbor",,"62.570000","28.723333"
4227,"Kallioniemi","Fuel, Septic, Kafe Sauna,",,"marina",,"61.462523","27.507315"
4844,"Kalmalahti eteläinen",,,"marina",,"62.487165","27.770476"
4799,"Kangaslampi","Grocery, Fuel by carrying,",,"pier",,"62.287900","28.267994"
4247,"Kangassaari","Waste disposal,  Outhouse toilet,  Campfire site,  Landing stage","(PSS)","naturharbor",,"61.565000","27.301667"
5319,"Kannassaari ","Waste disposal,  Outhouse toilet,  Campfire site, Landing stage, Shelter, ",,"naturharbor",,"62.748333","28.531667"
4403,"Kaoskenselkä",,,"pier",,"61.539469","28.157954"
4203,"Kaposaari","Outhouse toilet,  Barbecue shelter, Landing stage,  Buoys","(PSS)","guestharbor","https://drive.google.com/open?id=1QXn1XoQeqMyyaZIsVmGIuL5-qreKwn3qzQ","61.406232","27.564262"
4957,"Karhonsaari ","Waste disposal,  Outhouse toilet,  Campfire site, Shelter,  Landing stage ","(PSS)","naturharbor",,"62.933333","27.763333"
,"Karhusaari","Outhouse toilet,  Campfire site,  Shelter,  Landing stage","(Lpr sataman edustalla, EKvas)","guestharbor","https://drive.google.com/open?id=1tHEidcqRFl-N-0XPFHuz0_-qQGXYHwdLSQ","61.076405","28.187008"
4335,"Karihiekka, Uimasalo","Waste disposal,  Outhouse toilet,  Campfire site, Barbecue shelter, Landing stage,  Septic, (PSS)","Stone Age residence","naturharbor",,"61.610000","27.891667"
5138,"Karjalankoski",,,"pier",,"63.046461","28.293067"
5419,"Karjalansaari ","Outhouse toilet,  Campfire site,  Metsähallitus",,"naturharbor",,"62.346667","28.763333"
